scam_id,description,dollars_lost,target_location,scammer_location,scammer_email,scammer_phone,scammer_website,date_reported,scam_type,business_name,PTs
961910,"Text message said:
WSDOT Good To Go: Unpaid Toll Reminder You have an outstanding toll payment. The payment is due by 03/13/2025. If not paid by the due date, additional late fees may apply, and it may result in the revocation of your driver's license. To avoid any penalties, please make your payment promptly using the link below: Thank you for your immediate attention.
https://mygoodtogo.com-ysup.vip/pay
(Please reply Y, then exit the text message and open it again to activate the link, or copy the link into your Safari browser and open it)
Have a nice day!",,"AR, USA- 71901",Unknown Location,patriciacarter14785421@gmail.com,Unknown Phone Number,Unknown URL,"March 24, 2025",Phishing,WSDOT Good To Go:,"{'Authority and Impersonation': ""WSDOT Good To Go: Unpaid Toll Reminder You have an outstanding toll payment. ... may result in the revocation of your driver's license."", 'Fear and Intimidation': ""If not paid by the due date, additional late fees may apply, and it may result in the revocation of your driver's license."", 'Urgency and Scarcity': ""The payment is due by 03/13/2025. If not paid by the due date, additional late fees may apply, and it may result in the revocation of your driver's license. To avoid any penalties, please make your payment promptly using the link below: Thank you for your immediate attention."", 'Pretext and trust': 'WSDOT Good To Go: Unpaid Toll Reminder You have an outstanding toll payment.'}"
962467,"I keep getting similar texts from similar phone numbers with the following message. The phone number used is +639311211589. They also used the following phone number with the same scam: +639485039723
[E-ZPass Toll Alert] – Toll Violation Notice
Our records indicate an unpaid toll violation on your account. Please settle the balance online within 24 hours using the link below. If not paid by the due date, you may incur fines, increasing late fees, suspension of your vehicle registration with the NY DMV, and legal action with substantial penalties.
http://ezpass.com-gahr.vip/us
(Reply ""Y"" and reopen this message to activate the link, or copy and paste the link into your browser.)",,"NJ, USA- 08078",Unknown Location,Unknown Email,(931) 121-1589,http://ezpass.com-gahr.vip/us,"March 24, 2025",Phishing,http://ezpass.com-gahr.vip/us,"{'Authority and Impersonation': '[E-ZPass Toll Alert] – Toll Violation Notice Our records indicate an unpaid toll violation on your account.', 'Fear and Intimidation': 'If not paid by the due date, you may incur fines, increasing late fees, suspension of your vehicle registration with the NY DMV, and legal action with substantial penalties.', 'Urgency and Scarcity': 'Please settle the balance online within 24 hours using the link below.'}"
963615,"No phone number used but n/a was not an option. I received this email (copy / pasted) from kheinrich@bbb-claims.org. Did not click on any links, just reporting it as they are impersonating BBB. Email:
Dear ****** *****,
A concerning report has been submitted via our platform, pointing to potential fraudulent activities linked to Vital Care Inc. The details are ready for your immediate review.
Please investigate this matter urgently.
Access the details and respond within 14 calendar days with your explanation.
Thank you for your immediate action on this critical issue.
Best regards,
Kristie Heinrich
Case Manager, BBB
Better Business Bureau
Better Business Bureau
CONFIDENTIALITY NOTICE: The information contained in this communication and any attachments may be confidential, protected by applicable privileges",,"TX, USA- 75206",Unknown Location,Kheinrich@bbb-claims.org,Unknown Phone Number,Unknown URL,"March 26, 2025",Phishing,BBB Imposter Phishing and Identity Theft Scam,"{'Authority and Impersonation': 'I received this email (copy / pasted) from kheinrich@bbb-claims.org...impersonating BBB...Kristie Heinrich Case Manager, BBB Better Business Bureau', 'Fear and Intimidation': 'A concerning report has been submitted via our platform, pointing to potential fraudulent activities linked to Vital Care Inc.', 'Urgency and Scarcity': 'Please investigate this matter urgently. Access the details and respond within 14 calendar days with your explanation.', 'Pretext and trust': 'A concerning report has been submitted via our platform, pointing to potential fraudulent activities...Kristie Heinrich Case Manager, BBB'}"
961909,"Text message that said:
[WSDOT Toll Alert] – FINAL Unpaid Toll Notice
This is your FINAL official notice from the Washington State Department of Transportation (WSDOT) regarding an unpaid toll for your vehicle. You must settle the outstanding balance online within 24 hours using the link below. Failure to pay by the due date will result in immediate fines, escalating late fees, suspension of your vehicle registration through the DMV, potential vehicle impoundment, and aggressive legal actions, including court proceedings with significant financial penalties and possible wage garnishment.
Pay now to avoid these severe consequences and protect your driving privileges!
https://goodtogo.com-tollbillpsw.vip/us
If the link fails, reply “Y” to retry, or copy and paste it into your browser. This is your LAST CHANCE—act immediately!",,"AR, USA- 71901",Unknown Location,Unknown Email,(208) 602-9450,https://mygoodtogo.com-tollbillpsw.vip/us,"March 22, 2025",Phishing,Toll Scam,"{'Authority and Impersonation': 'This is your FINAL official notice from the Washington State Department of Transportation (WSDOT) regarding an unpaid toll for your vehicle.', 'Fear and Intimidation': 'Failure to pay by the due date will result in immediate fines, escalating late fees, suspension of your vehicle registration through the DMV, potential vehicle impoundment, and aggressive legal actions, including court proceedings with significant financial penalties and possible wage garnishment.', 'Urgency and Scarcity': 'You must settle the outstanding balance online within 24 hours using the link below.', 'Pretext and trust': 'This is your FINAL official notice from the Washington State Department of Transportation (WSDOT) regarding an unpaid toll for your vehicle.'}"
963151,"Call was from +1 (445) 317-1528 number.  Here is VM transcript: ""Hello, this is an update from US loan service We've been trying to reach you regarding your pending preapproval for a personal loan or line of credit up $65,000 To speak with an underwriting specialist now Press one to be We just need to verify a few details As your approval If you are no longer interested in loan options Wish to be removed from our contact Please note a live representative Or underwriting specialist Cannot assist with opt out DNC You must press nine Going to be removed Press one now to Or please call us back at 8337 46 6947 As soon as possible Verification or…”",,"TX, USA- 76017","Philadelphia, PA",Unknown Email,(833) 746-6947,Unknown URL,"March 26, 2025",Phishing,Phishing - Loan Application Scam,"{'Authority and Impersonation': ""Hello, this is an update from US loan service We've been trying to reach you regarding your pending preapproval for a personal loan or line of credit ... to speak with an underwriting specialist ... a live representative Or underwriting specialist"", 'Phantom Riches': 'pending preapproval for a personal loan or line of credit up $65,000', 'Urgency and Scarcity': ""We've been trying to reach you regarding your pending preapproval ... As soon as possible"", 'Pretext and trust': ""We've been trying to reach you regarding your pending preapproval for a personal loan ... We just need to verify a few details As your approval""}"
965298,"Postal mail was received claiming the following:
""Please call 1-888-928-0995 with VIN and current mileage before [DATE].
Our records indicate that you have not contacted us regarding the vehicle service contract on your vehicle.
By neglecting to activate your coverage you will be at risk of being financially liable for any and all repairs after your factory warranty expires. However, you still may have time left to activate coverage on your vehicle before it's too late. Final acceptance is subject to your ability to meet eligibility requirements.
This may be our only attempt to contact you about activating your vehicle service contract. We reserve the right to revoke your eligibility for your service coverage if you do not meet out criteria. Call withing 5 days to ensure eligibility.
Sincerely,
Michael Toplen
Program Coordinator
1-888-928-0995""
The postal mail knows what kind of vehicle I have and uses graphics to assert the legitimacy of the mail, but does not seem to know private details about it like the VIN or license plate. It seems that they would be trying to get my vehicle's VIN.",,"GA, USA- 30307",Unknown Location,Unknown Email,(888) 928-0995,Unknown URL,"March 29, 2025",Phishing,Phishing -Car Warranty,"{'Authority and Impersonation': 'Sincerely, Michael Toplen Program Coordinator', 'Fear and Intimidation': 'By neglecting to activate your coverage you will be at risk of being financially liable for any and all repairs after your factory warranty expires.', 'Urgency and Scarcity': 'Call within 5 days to ensure eligibility.', 'Pretext and trust': 'This may be our only attempt to contact you about activating your vehicle service contract. We reserve the right to revoke your eligibility for your service coverage if you do not meet out criteria. Final acceptance is subject to your ability to meet eligibility requirements.'}"
962572,"Received phone voice mail on both Mine and Husband phones right after another.
""This is a urgent message for ""Husband Name"". My name is John and I'm call regarding a complaint scheduled to be filed out of "" Our County Name"". Your file # 696617.
If you will not be available to receive and sign legal documents, come into your residence or place of employment you will need to contact the issuing office immediately at the phone number 888-362-6311. It is urgent they speak to you today or they will be forced to move forward without your participation or consent you have been notified.""",,"WA, USA- 98826","Los Angeles, CA",Unknown Email,1(213) 293-2426,Unknown URL,"March 24, 2025",Phishing,Unknown,"{'Authority and Impersonation': 'This is a urgent message for ""Husband Name"". My name is John and I\'m call regarding a complaint scheduled to be filed out of "" Our County Name"".', 'Fear and Intimidation': 'If you will not be available to receive and sign legal documents, come into your residence or place of employment you will need to contact the issuing office immediately ... they will be forced to move forward without your participation or consent you have been notified.', 'Urgency and Scarcity': 'It is urgent they speak to you today or they will be forced to move forward without your participation or consent you have been notified.', 'Pretext and trust': 'regarding a complaint scheduled to be filed out of "" Our County Name"". Your file # 696617.'}"
962986,"This weird number called, I didn’t answer it. The voicemail was a male who honestly sounded like a prerecorded message/robot. The message was:
“I am location specialist David Adams calling you again in reference to a pending claim. by law I have to make you aware that the filing will become public records soon. please be available with identification at both your home and job tomorrow. if I cannot locate you a direct refusal to comply will be set on your behalf. every attempt to contact you is documented. the number you must call prior to being located is 855-374-5842. see you soon…”
I’m personally thinking creepy…",,"IA, USA- 50322",Unknown Location,Unknown Email,(833) 705-3961,Unknown URL,"March 25, 2025",Phishing,Collection,"{'Authority and Impersonation': 'I am location specialist David Adams calling you again in reference to a pending claim.', 'Fear and Intimidation': 'by law I have to make you aware that the filing will become public records soon. please be available with identification at both your home and job tomorrow. if I cannot locate you a direct refusal to comply will be set on your behalf. every attempt to contact you is documented. see you soon…', 'Urgency and Scarcity': 'please be available with identification at both your home and job tomorrow.'}"
962864,"This is the voicemail I received from this number-
""This is August calling to follow up a document receiving our office for  *****, the reference number 257*** again 257***
Documents regarding your file are being prepared to be sent out.
You will need to be available to sign for the delivery. The issuing agent will dispatch confirmation.
If they're unable to reach you at home, they will attempt to reach you at your very five place of employment in order to stop further action from being taken you will need to contact the issuing agency immediately at 888-362-6932 again
888-362-6932. This call has been logged and recorded as proof of efforts being made to notify you....'",,"OK, USA- 74366",Unknown Location,Unknown Email,(888) 362-6932,Unknown URL,"March 24, 2025",Phishing,Unknown,"{'Authority and Impersonation': 'This is August calling to follow up a document receiving our office for  *****, the reference number 257*** again 257*** Documents regarding your file are being prepared to be sent out. You will need to be available to sign for the delivery. The issuing agent will dispatch confirmation.', 'Fear and Intimidation': ""If they're unable to reach you at home, they will attempt to reach you at your very five place of employment in order to stop further action from being taken you will need to contact the issuing agency immediately at 888-362-6932"", 'Urgency and Scarcity': 'in order to stop further action from being taken you will need to contact the issuing agency immediately', 'Pretext and trust': 'Documents regarding your file are being prepared to be sent out. You will need to be available to sign for the delivery. The issuing agent will dispatch confirmation.'}"
961413,"I received an email date 03/21/2025:
Dear Customer,
Appreciate your continued support and your subsrcition is active!
This is an auto-renewal notification from Firewall Security Inc.  As per your request, your subscription for Web Protection expired on 03/21/2025 and auto renewed for an amount of USD 475.00 for a period of 5 years as per your request.
The amount debited will reflect under your checking account as per your ACH transfer within 1 business day.
Thank you for your business.  We are committed to serving you.
If you no longer wish to continue your subscription and would like to cancel and get your refund, you may simply reach our customer support team toll free for cancellation and refund.
Note:  This mailbox is not actively monitored and reverting to this email may not help you cancel your subscription.  Please reach out to our customer support help line.  +1 (808) 808-9159
Best Regards,
Billing Support
Help line +1 (808) 808-9159",,"KY, USA- 40026",Unknown Location,rickfot236@gmail.com,(808) 808-9159,Unknown URL,"March 21, 2025",Phishing,Firewall Protection Scam,"{'Authority and Impersonation': 'This is an auto-renewal notification from Firewall Security Inc.', 'Fear and Intimidation': 'The amount debited will reflect under your checking account as per your ACH transfer within 1 business day.', 'Urgency and Scarcity': 'If you no longer wish to continue your subscription and would like to cancel and get your refund, you may simply reach our customer support team toll free for cancellation and refund.', 'Pretext and trust': 'As per your request, your subscription for Web Protection expired on 03/21/2025 and auto renewed for an amount of USD 475.00 for a period of 5 years as per your request.'}"
964513,"The scammers sent me the email below with an Invoice attachment:
Hello *******,
Attached to this email you will find a downloadable copy of your invoice.  Please review and if you have any questions, please feel free to contact customer service at the number listed below. You have an outstanding balance on this account and based on the termination date it is critical that this gets resolved within the next 48 business hours. Due to a CVV mismatch electronic payment is not an option. Please make payment via cashier’s check OR money order made out to HFC. Send this payment USPS, UPS or FedEx overnight mail to the below address.
HFC
530 E McDowell Rd
Suite 107  #472
Phoenix, AZ 85004
Please visit your website: www.elitewebmall.com
Click the login box and enter your temporary password provided below.  This will allow you temporary access to your back office until you’ve had the chance to speak with your Mentor and personalize your login credentials.
Password: ewm2000
You can view our profile and standing through the Arizona Corporation Commission by clicking the shortcut link below.
https://ecorp.azcc.gov/BusinessSearch/BusinessInfo?entityNumber=L15135080
Again, thank you for your continued business, we look forward to helping you reach your financial goals.
Sincerely,
HFC Accounting Department
(602) 888-6504
Office Hours:
Monday - Friday
7am -3pm PST",,"VA, USA- 23323","Phoenix, AZ- 85004",accounting@hfcllcaz.com,(602) 888-6504,www.elitewebmall.com,"March 27, 2025",Phishing,phishing,"{'Authority and Impersonation': 'HFC Accounting Department\n(602) 888-6504\nOffice Hours:\nMonday - Friday\n7am -3pm PST', 'Urgency and Scarcity': 'it is critical that this gets resolved within the next 48 business hours.', 'Fear and Intimidation': 'You have an outstanding balance on this account and based on the termination date it is critical that this gets resolved within the next 48 business hours.', 'Pretext and trust': 'You can view our profile and standing through the Arizona Corporation Commission by clicking the shortcut link below.\nhttps://ecorp.azcc.gov/BusinessSearch/BusinessInfo?entityNumber=L15135080'}"
962773,"Voicemail left on my Verizon account phone number: ""Hey this is Michael. A preauthorized order was placed on your Walmart card for a Play Station 5 with special edition 3D headset for $919.45. To cancel your order or speak to a representative please press 1.""",,"CA, USA- 94536",Unknown Location,Unknown Email,(904) 862-7976,Unknown URL,"March 24, 2025",Phishing,Unknown,"{'Authority and Impersonation': '""Hey this is Michael. A preauthorized order was placed on your Walmart card""', 'Fear and Intimidation': '""A preauthorized order was placed on your Walmart card for a Play Station 5 with special edition 3D headset for $919.45.""', 'Urgency and Scarcity': '""To cancel your order or speak to a representative please press 1.""', 'Pretext and trust': '""A preauthorized order was placed on your Walmart card for a Play Station 5 with special edition 3D headset for $919.45.""'}"
965105,"Text message: Ohio Turnpike Reminder: You have an outstanding toll. your toll account balance is outstanding. If you fail to pay by March 7, 2025, you will face penalties or legal action. Now Paymewnt: https://Ohio turnpike.org-vdl.xin/pay Please reply Y, then exit the SMS and open it again to activate the link, or copy the link to your Safari browser and open it. Please settle your toll immediately after reading this message to avoid penalties for delaying the payment. Thank you for your cooperation.",,"OH, USA- 43215",Unknown Location,katelyn2957898sim@icloud.com,Unknown Phone Number,Unknown URL,"March 28, 2025",Phishing,Unknown,"{'Authority and Impersonation': 'Ohio Turnpike Reminder: You have an outstanding toll. your toll account balance is outstanding.', 'Fear and Intimidation': 'If you fail to pay by March 7, 2025, you will face penalties or legal action.', 'Urgency and Scarcity': 'Please settle your toll immediately after reading this message to avoid penalties for delaying the payment.', 'Pretext and trust': 'Ohio Turnpike Reminder: You have an outstanding toll.'}"
964407,"This is the message that was left.
** Note: Prior to the message running there a short high pitched ‘beep’ noise
Message: “ I am location specialist Dave Adams calling you today in reference to a pending claim by law I have to make you aware _?_?_?_?_?_?_?_?_?_?_?_?_?_?_?_?_?_?_?_ is filed it becomes public record your name and Social Security number are affiliated with your claim you need to contact the filing party before I appear at your home and job payroll department with your legal documents you do have the legal rights to contact the filing party phone number they provided is 855-659-5077 good luck you've been notified…”",,"NE, USA- 68102",Unknown Location,Unknown Email,"(833) 705-3961
855-659-5077",Unknown URL,"March 27, 2025",Phishing,Dave Adams with Location Services,"{'Authority and Impersonation': 'I am location specialist Dave Adams calling you today in reference to a pending claim by law I have to make you aware', 'Fear and Intimidation': 'before I appear at your home and job payroll department with your legal documents', 'Urgency and Scarcity': 'you need to contact the filing party before I appear at your home and job payroll department with your legal documents', 'Pretext and trust': 'pending claim by law I have to make you aware _?_?_?_?_?_?_?_?_?_?_?_?_?_?_?_?_?_?_?_ is filed it becomes public record your name and Social Security number are affiliated with your claim'}"
962737,"They left a voice mail. I love Apple's block scam call feature. Voicemail went like this "" Hi, this is Jim from the national document services. I'm calling to follow up with a complaint receipt of (Name similar to my mom's name). The reference case number is (5-digit long code) again that is (5-digit long code). Documents regarding your file are being prepared to be sent out. In order to stop the action from being taken you need to contact the department mediating the case. 888-362-6721 again that is 888-362-6721. This call has been left and recorded for proof of effort in being made to notify you.",,"UT, USA- 84128",Unknown Location,Unknown Email,1(801) 559-7679,Unknown URL,"March 24, 2025",Phishing,Document Services Voicemail,"{'Authority and Impersonation': '""This call has been left and recorded for proof of effort in being made to notify you.""', 'Pretext and trust': '""I\'m calling to follow up with a complaint receipt of (Name similar to my mom\'s name). The reference case number is (5-digit long code) again that is (5-digit long code). Documents regarding your file are being prepared to be sent out.""', 'Fear and Intimidation': '""In order to stop the action from being taken you need to contact the department mediating the case.""', 'Urgency and Scarcity': '""In order to stop the action from being taken you need to contact the department mediating the case.""'}"
964111,"This message was left on my sisters phone “Good morning this is Brian Baker in the legal department You're receiving this message because you're being listed as an emergency contact for (my name) Have any information they can lead to their whereabouts Please pass this message to him as soon as possible, or having immediate member of the family reach out to my office. Now the purpose of this message is not intended to scare anyone. But I can't say that the matter is urgent and very private if you have any contact with (my name) Press one and ask to speak directly to me, Brian Baker or someone in my office…”",,"NC, USA- 28625",Unknown Location,Unknown Email,1(980) 354-9105,Unknown URL,"March 26, 2025",Phishing,fake legal matter,"{'Authority and Impersonation': '""Good morning this is Brian Baker in the legal department"" ""ask to speak directly to me, Brian Baker or someone in my office""', 'Fear and Intimidation': '""You\'re receiving this message because you\'re being listed as an emergency contact for (my name) Have any information they can lead to their whereabouts""', 'Urgency and Scarcity': '""Please pass this message to him as soon as possible, or having immediate member of the family reach out to my office"" ""the matter is urgent and very private""', 'Pretext and trust': '""You\'re being listed as an emergency contact for (my name) Have any information they can lead to their whereabouts"" ""the matter is urgent and very private""'}"
